User ID , Name                  , Degree , Field of Study    , Educational Institute , Date of Birth , City       , Position Held     , Grad Year , Country of Nationality , Email                 , Applied Position     , Languages
1, Ahmed Al-Masri     , B.Sc.    , Computer Science , Jordan University        , 1992-08-10    , Amman  , Software Engineer ,2015, Jordan                             , ahmed@example.com , Data Scientist         ," Arabic, English"
2, Fatima Khouri        , M.A.      , Business Administration , Amman Business School , 1989-04-25    , Irbid       , Project Manager    ,2011, Jordan                             , fatima@example.com , Senior Project Manager ," Arabic, French"
3, Omar Hamdi          , Ph.D.     , Data Analytics      , Petra Tech Institute       , 1986-11-15    , Zarqa      , Data Analyst          ,2009, Jordan                             , omar@example.com , Lead Data Scientist    ," Arabic, Mandarin"
4, Yasmin Najjar      , B.Sc.    , Electrical Engineering , Yarmouk University      , 1990-03-08    , Ajloun     , Electrical Engineer ,2013, Jordan                             , yasmin@example.com , Hardware Engineer     ," Arabic, English"
5, Khalid Al-Farsi       , M.Sc.    , Civil Engineering       , Jordan University        , 1987-07-20    , Salt          , Structural Engineer   ,2010, Jordan                             , khalid@example.com , Senior Civil Engineer  ," Arabic, English"
6, Salma Hassan       , B.A.      , English Literature        , Mutah University        , 1993-01-12    , Karak       , English Teacher       ,2016, Jordan                             , salma@example.com  , ESL Instructor             ," Arabic, English"
7, Hani Abu-Saeed    , Ph.D.     , Mechanical Engineering , Princess Sumaya University , 1984-09-29 , Madaba   , Mechanical Engineer ,2007, Jordan                             , hani@example.com   , Lead Mechanical Engineer ," Arabic, English"
8, Dalia Nasser        , M.Sc.    , Computer Engineering , Hashemite University , 1988-06-05    , Aqaba      , Software Developer  ,2012, Jordan                             , dalia@example.com   , Senior Software Engineer ," Arabic, English"
9, Fadi Issa              , B.Sc.    , Mathematics                 , Philadelphia University   , 1991-12-18    , Tafila       , Data Analyst           ,2014, Jordan                             , fadi@example.com    , Quantitative Analyst    ," Arabic, English"
10, Leila Abadi             , M.A.      , International Relations      , Jordan University        , 1985-05-30    , Jerash      , Diplomat                  ,2008, Jordan                             , leila@example.com   , Foreign Affairs Officer ," Arabic, English"
11, Nizar Al-Hussein    , B.A.      , Graphic Design             , Yarmouk University      , 1994-02-14    , Mafraq     , Graphic Designer     ,2017, Jordan                             , nizar@example.com  , Senior Graphic Designer ," Arabic, English"
12, Lina Farah              , Ph.D.     , Biotechnology                , Hashemite University , 1983-08-27    , Ma'an      , Biotechnologist         ,2006, Jordan                             , lina@example.com    , Research Scientist        ," Arabic, English"
13, Adel Saad              , B.Sc.    , Chemistry                     , Jordan University        , 1989-10-03    , Balqa       , Chemist                     ,2012, Jordan                             , adel@example.com   , Analytical Chemist         ," Arabic, English"
14, Reem Mansour      , M.Sc.    , Environmental Science , Mu'tah University      , 1986-04-17    , Ramtha   , Environmentalist         ,2009, Jordan                             , reem@example.com , Environmental Analyst    ," Arabic, English"
15, Tariq Al-Abadi         , B.A.      , History                          , Yarmouk University      , 1992-11-21    , Mafraq     , Historian                    ,2015, Jordan                             , tariq@example.com , Research Historian          ," Arabic, English"
16, Samar Hakim          , Ph.D.     , Psychology                   , Jordan University        , 1987-03-05    , Ajloun     , Psychologist              ,2010, Jordan                             , samar@example.com , Clinical Psychologist       ," Arabic, English"
17, Youssef Al-Ahmad , M.A.      , Economics                    , Hashemite University , 1984-07-08    , Aqaba      , Economist                  ,2007, Jordan                             , youssef@example.com , Senior Economist          ," Arabic, English"
18, Rana Ibrahim         , B.Sc.    , Nursing                        , Mutah University         , 1990-09-12    , Salt          , Nurse                           ,2013, Jordan                             , rana@example.com  , Registered Nurse            ," Arabic, English"
19, Ali Abu-Hassan       , M.A.      , Linguistics                    , Philadelphia University   , 1988-01-25    , Karak       , Linguist                        ,2011, Jordan                             , ali@example.com     , Senior Linguist              ," Arabic, English"
20, Nour Al-Masri        , B.A.      , Journalism                   , Yarmouk University      , 1993-06-29    , Jerash      , Journalist                     ,2016, Jordan                             , nour@example.com , Senior Journalist             ," Arabic, English"
21, Mohamad Khalil      , Ph.D.     , Electrical Engineering , Jordan University        , 1985-12-07    , Madaba   , Electrical Engineer    ,2008, Jordan                             , mohamad@example.com , Lead Electrical Engineer ," Arabic, English"
22, Hala Mustafa         , B.Sc.    , Pharmacy                     , Mutah University        , 1991-02-03    , Irbid       , Pharmacist                  ,2014, Jordan                             , hala@example.com    , Senior Pharmacist           ," Arabic, English"
23, Ahmad Hassan       , M.A.      , Political Science          , Hashemite University , 1986-10-19    , Tafila       , Political Analyst           ,2009, Jordan                             , ahmad@example.com , Senior Political Analyst  ," Arabic, English"
24, Rasha Al-Said        , B.Sc.    , Architecture                 , Jordan University        , 1990-07-14    , Zarqa      , Architect                      ,2013, Jordan                             , rasha@example.com  , Senior Architect             ," Arabic, English"
25, Hisham Sami          , M.Sc.    , Computer Science        , Petra Tech Institute       , 1987-05-02    , Ma'an      , Software Engineer      ,2010, Jordan                             , hisham@example.com , Senior Software Developer ," Arabic, English"
26, Sara Nasser            , B.A.      , Education                     , Princess Sumaya University , 1992-09-08 , Balqa       , Educator                      ,2015, Jordan                             , sara@example.com    , Senior Educator                ," Arabic, English"
27, Kareem Al-Rifai        , M.A.      , Marketing                    , Philadelphia University    , 1989-03-16    , Ramtha   , Marketing Manager    ,2012, Jordan                             , kareem@example.com , Senior Marketing Manager ," Arabic, English"
28, Farah Abu-Zaid       , Ph.D.     , Sociology                     , Hashemite University , 1984-11-02    , Ajloun     , Sociologist                     ,2007, Jordan                             , farah@example.com   , Lead Sociologist                ," Arabic, English"
29, Khaled Khoury       , B.Sc.    , Physics                        , Yarmouk University       , 1991-01-28    , Mafraq     , Physicist                          ,2014, Jordan                             , khaled@example.com , Research Physicist            ," Arabic, English"
30, Rawan Mansour     , M.Sc.    , Public Health               , Mutah University         , 1988-06-15    , Jerash      , Public Health Specialist ,2011, Jordan                             , rawan@example.com , Senior Public Health Specialist ," Arabic, English"
31, Youssef Al-Masri   , B.A.     , Economics            , Philadelphia University , 1993-04-02     , Amman     , Economist                   ,2015, Jordan                            , youssef@example.com  , Junior Economist           ," Arabic, English"
32, Mariam Abdel-Rahim , M.Sc.  , Computer Science , Princess Sumaya University , 1988-12-20 , Irbid           , Software Engineer     ,2011, Jordan                            , mariam@example.com , Senior Software Engineer ," Arabic, English"
33, Tareq Al-Hussein      , B.Sc.   , Chemical Engineering , Hashemite University  , 1990-09-07    , Zarqa         , Chemical Engineer       ,2013, Jordan                            , tareq@example.com     , Process Engineer            ," Arabic, English"
34, Noor Ahmad            , M.A.     , Linguistics           , Mu'tah University           , 1987-05-14    , Balqa           , Linguist                          ,2010, Jordan                            , noor@example.com       , Linguistics Researcher    ," Arabic, English"
35, Amal Khader          , B.A.     , Sociology               , Yarmouk University        , 1992-01-18     , Ma'an        , Sociologist                    ,2015, Jordan                            , amal@example.com      , Social Researcher           ," Arabic, English"
36, Khalil Faris            , Ph.D.    , Mechanical Engineering , Jordan University          , 1986-08-30    , Aqaba          , Mechanical Engineer    ,2009, Jordan                            , khalil@example.com    , Senior Mechanical Engineer ," Arabic, English"
37, Rania Ali                  , B.Sc.    , Psychology               , Hashemite University     , 1991-03-25     , Tafila          , Psychologist                  ,2014, Jordan                            , rania@example.com    , Counseling Psychologist   ," Arabic, English"
38, Mahmoud Said         , M.A.     , International Relations , Philadelphia University   , 1988-07-12    , Jerash          , Diplomat                        ,2011, Jordan                            , mahmoud@example.com , Foreign Affairs Officer      ," Arabic, English"
39, Layla Nassar           , B.A.     , Journalism                , Mutah University            , 1993-10-09    , Ramtha        , Journalist                      ,2016, Jordan                            , layla@example.com      , Reporter                           ," Arabic, English"
40, Adnan Al-Khatib      , Ph.D.    , Electrical Engineering , Yarmouk University        , 1985-11-27    , Mafraq          , Electrical Engineer         ,2008, Jordan                            , adnan@example.com   , Principal Electrical Engineer ," Arabic, English"
41, Nada Al-Amiri         , M.Sc.   , Environmental Science , Petra Tech Institute      , 1989-06-03    , Ajloun            , Environmentalist               ,2012, Jordan                            , nada@example.com      , Environmental Analyst         ," Arabic, English"
42, Raed Abu-Zaid          , B.A.     , History                       , Princess Sumaya University , 1994-02-11 , Amman        , Historian                         ,2017, Jordan                            , raed@example.com     , Historical Researcher          ," Arabic, English"
43, Hanan Khaled         , M.A.     , Education                   , Philadelphia University    , 1986-04-28    , Irbid              , Educator                          ,2009, Jordan                            , hanan@example.com , Curriculum Developer           ," Arabic, English"
44, Ammar Al-Safadi    , B.Sc.    , Civil Engineering           , Hashemite University     , 1991-09-15    , Zarqa             , Civil Engineer                   ,2014, Jordan                            , ammar@example.com , Structural Engineer             ," Arabic, English"
45, Sara Khalaf              , Ph.D.    , Computer Science        , Mutah University           , 1984-12-01    , Ma'an            , Data Scientist                  ,2007, Jordan                            , sara@example.com    , Senior Data Scientist           ," Arabic, English"
46, Rami Mansour         , M.A.     , Business Administration , Princess Sumaya University , 1987-08-16 , Tafila             , Business Analyst               ,2010, Jordan                            , rami@example.com   , Senior Business Analyst      ," Arabic, English"
47, Hala Al-Hussein       , B.Sc.    , Biotechnology                , Mu'tah University           , 1992-11-23    , Balqa              , Biotechnologist                 ,2015, Jordan                            , hala@example.com     , Research Biologist                ," Arabic, English"
48, Ahmed Jamal            , M.Sc.   , Mathematics                  , Yarmouk University        , 1988-03-07    , Ajloun             , Mathematician                    ,2011, Jordan                            , ahmed@example.com , Senior Mathematician           ," Arabic, English"
